time,open,High,Low,Close,volume,ADX,DI+,DI-
2013-01-02,415.5,419.05,414.41,418.35,64288223,0.0,0.0,0.0
2013-01-03,420.68,420.68,413.68,419.27,99824757,0.0,0.0,0.0
2013-01-04,418.75,426.48,417.5,426.06,64852320,0.0,0.0,0.0
2013-01-07,428.84,434.64,426.86,434.19,78123432,0.0,0.0,0.0
2013-01-08,437.25,447.16,437.15,447.16,119101143,0.0,0.0,0.0
2013-01-09,447.16,457.75,442.26,448.77,134774030,0.0,0.0,0.0
2013-01-10,447.99,460.12,444.08,460.12,79394578,0.0,0.0,0.0
2013-01-11,468.39,469.16,461.74,462.69,75120558,0.0,0.0,0.0
2013-01-14,458.08,462.08,455.51,458.97,69545410,0.0,0.0,0.0
2013-01-15,459.13,461.42,455.93,461.42,88782010,0.0,0.0,0.0
2013-01-16,462.17,470.34,462.17,465.25,96572500,0.0,0.0,0.0
2013-01-17,465.66,466.55,456.76,456.76,95829037,0.0,0.0,0.0
2013-01-18,458.0,459.82,450.28,454.16,84204830,0.0,0.0,0.0
2013-01-21,453.91,456.34,447.79,447.79,57427982,0.0,0.0,0.0
2013-01-22,449.04,450.8,441.24,442.85,67369185,0.0,0.0,0.0
2013-01-23,443.96,447.79,440.48,443.37,50605794,0.0,40.70969692790032,19.29518363102975
2013-01-24,444.34,452.4,444.19,452.4,49810670,0.0,41.406349011827416,17.99547635476249
2013-01-25,455.25,468.09,455.25,468.09,85957646,0.0,47.964967125579015,15.981171815013672
2013-01-28,474.27,485.67,474.27,479.6,106705176,0.0,54.15677606263867,14.079522925741426
2013-01-29,477.6,484.34,476.33,484.01,88110620,0.0,51.169136964738385,13.302805103320164
2013-01-30,485.72,490.89,482.76,487.6,83263865,0.0,52.84094865936213,12.546264102873876
2013-01-31,484.04,485.19,479.79,479.79,80404000,0.0,49.904808353628724,13.962182059967828
2013-02-01,473.81,483.42,473.23,483.42,76844944,0.0,46.29064896342658,17.61326530326052
2013-02-04,486.74,488.96,482.38,482.38,56882646,0.0,48.10803023574575,16.76876023990313
2013-02-05,481.59,482.56,477.36,477.36,63406967,0.0,46.22189736734935,19.89622679349277
2013-02-06,479.62,488.62,479.62,488.36,65145778,0.0,46.85827937425186,18.229553523144823
2013-02-07,492.56,493.72,488.03,490.62,73005691,0.0,48.723131625304504,17.434760068294196
2013-02-08,491.85,495.72,489.64,494.03,60721820,47.87947018028761,47.9669414553763,16.60182695288476
2013-02-18,491.85,497.87,489.64,493.95,69423530,48.02990370700537,46.544780429980776,15.52091012696612
2013-02-19,493.4,495.39,490.33,490.78,104487830,48.16959198181472,44.62118872590259,14.879465615161228
2013-02-20,487.99,495.82,487.68,494.83,78546816,47.89544032545744,41.63986078828943,16.060460751517336
2013-02-21,494.83,497.7,476.73,476.73,123304854,46.15989645059167,35.128308137102074,21.714614189253183
2013-02-22,482.85,487.11,470.23,477.69,107354080,43.80577102035999,30.934767642325884,23.719265444936163
2013-02-25,481.32,483.97,478.3,483.69,48918683,41.61979740657343,29.522712211907916,22.63657046677116
2013-02-26,482.5,482.5,463.64,465.05,93966050,39.162078335171294,25.517843582321404,29.484461545763313
2013-02-27,466.14,467.5,459.64,465.72,71438583,37.21343136936492,24.135604842131944,30.643978546265327
